State,CMS Certification Number (CCN),Provider Name,Address,City,Zip,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients’ care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients’ risk of falling,How often the home health team checked patients for depression,How often the home health team determined whether patients received a flu shot for the currnet flu season,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot),"With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care",How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients’ breathing improved,How often patients’ wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted","How often home health patients, who have had a recent hospital stay, had to be re-admitted to the hospital","How often home health patients, who have had a recent hospital stay, received care in the hospital emergency room without being readmitted to the hospital",HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family"
FL,109256,"HEALTHMAX HOME CARE SERVICES, INC",2387 W 68TH ST STE 301,HIALEAH,33016,Proprietary,Yes,Yes,Yes,No,No,Yes,,96.6,100,,100,,71.4,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,100,Not Available,100,Not Available,76,Not Available,100,100
FL,109257,INTEGRITY HEALTH SERVICES,7270 NW 12TH ST STE 800,DORAL,33126,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109263,OCHA HOME HEALTH SERVICES CORP,5545 SW 8TH STREET SUITE 107,CORAL GABLES,33134,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,100,91.3,100,100,,60.9,,71.9,81.8,39.9,84.4,46.1,,24.9,24.2,5.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109265,VENNUS HOME HEALTH INC,10520 WEST FLAGLER STREET,MIAMI,33174,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,100,99.6,99.6,100,52.8,49.2,98.1,82.1,82.1,100,99.5,62,,43.2,12.3,5.6,Not Available,Not Available,Not Available,Not Available,98,Not Available,85,Not Available,96,Not Available,97,60
FL,109268,M A R G HOME HEALTH CARE LLC,2460 SW 137 AVE STE 240,MIAMI,33175,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,96.6,100,100,100,59,71,100,87.5,72.6,87.3,96.5,52.5,,29.3,19.6,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109269,ALPHA HOME CARE SERVICES LLC,8660 COLLEGE PKWY  STE 80,FORT MYERS,33919,Proprietary,Yes,Yes,No,Yes,Yes,Yes,4,95.2,83.7,99.6,99.1,73.1,80.5,94.5,80.6,71.1,83.8,80.6,79,96.5,69.8,15.8,10.6,Worse Than Expected,Same As Expected,3,4,90,3,83,2,79,3,81,83
FL,109270,TRILOGY HOMECARE,"4731 W ATLANTIC AVE, STE B 10",DELRAY BEACH,33445,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,89.5,97.6,100,96.5,73.5,80,,55,63.7,63.3,81.5,61.6,,64.6,1.6,11.4,Not Available,Not Available,Not Available,Not Available,62,Not Available,75,Not Available,63,Not Available,49,58
FL,109273,"BROWARD NURSING CARE, INC.",4175 SW 64TH AVENUE SUITE 200,DAVIE,33314,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,99.4,99.6,100,99.7,67.8,71.8,92.7,70.8,64.9,67.6,70.1,52.7,,47.3,18.9,8.4,Not Available,Not Available,Not Available,Not Available,78,Not Available,60,Not Available,72,Not Available,98,68
FL,109276,"ORTHOPAEDIC HOME HEALTH AND REHABILITATION, INC",2101 VISTA PKWY STE 252,WEST PALM BEACH,33411,Proprietary,Yes,Yes,No,No,No,No,2.5,62.5,83.3,,100,,87,,77.7,66.4,71.5,45.9,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109283,HOME HEALTH SOLUTIONS CORP,8249 NW 36 ST  STE 107,DORAL,33166,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109284,MD NURSING CORP,5600 SW 135 AVE STE 202A,MIAMI,33183,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,97.8,100,100,100,34.8,45.7,100,98.9,59.9,77.6,89.1,56,,36.4,17,16.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109286,ADVANCE CARE HOME HEALTH AGENCY INC,114 DEL PRADO BLVD S STE 200,CAPE CORAL,33990,Proprietary,Yes,Yes,Yes,No,No,Yes,3.5,92.3,97.5,99.6,96.7,58.3,43.3,95.3,72.6,56,79.3,79.3,61.5,89.3,50.2,15.1,1.7,Not Available,Not Available,3,4,91,4,88,1,72,4,90,80
FL,109287,ANGELS TOUCH HOME HEALTH INC,10691 N KENDALL DR STE 110,MIAMI,33176,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4.5,98.7,100,98.6,92,80.4,92.1,79.4,79.4,82.6,96.9,93.3,95.7,,69,19.8,7.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109289,MORSELIFE HOME CARE,4920 LORING DR,WEST PALM BEACH,33417,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,96.7,95.9,100,99.1,77.7,75.4,89,68,66.8,64.2,66.7,69.2,94.3,54,13.8,8.5,Same As Expected,Same As Expected,3,4,88,3,80,1,71,3,80,83
FL,109290,"NURSING SERVICES 4 YOU, CORP",13595 SW 134 AVE STE 206,MIAMI,33186,Proprietary,Yes,Yes,Yes,No,Yes,Yes,2.5,99.1,98.7,100,99.7,28.7,29.2,97.7,61.5,48.4,38.8,75.3,9.3,,39.5,14.6,5.2,Not Available,Not Available,Not Available,Not Available,98,Not Available,92,Not Available,78,Not Available,92,86
FL,109294,ALL WAYS HOME CARE INC,9159 SW 87TH AVE,MIAMI,33176,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,90.5,82.8,89.1,93.7,9.9,18.4,79.6,56.1,51.5,40.8,68.5,,,,12,13.1,Same As Expected,Same As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109297,"CARE ON CALL HOME HEALTHCARE, INC.",211 NE 44TH ST,OAKLAND PARK,33334,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,93.7,100,100,98.4,82.4,72.4,97.1,61.6,47.6,67.3,80,54,,58.2,22,11.1,Not Available,Not Available,Not Available,Not Available,90,Not Available,83,Not Available,85,Not Available,79,82
FL,109302,INFINITY HOME CARE OF PINELLAS LLC,2189 CLEVELAND ST STE 266,CLEARWATER,33765,Government - State/ County,Yes,Yes,Yes,Yes,Yes,Yes,4.5,97.7,98.8,94.6,93.1,78.8,70.6,97.3,74.2,73.1,81.6,75.9,84.2,97.6,72.8,18.3,9.4,Same As Expected,Same As Expected,3,4,89,4,85,2,81,3,85,78
FL,109303,LONG LIFE HOME CARE INC,14850 SW 26 ST STE 209,MIAMI,33185,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109309,SL ASKLEPIOS HOME HEALTH INC,14050 SW 84 ST STE 204,MIAMI,33183,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,86,Not Available,94,Not Available,98,Not Available,82,99
FL,109311,"SUNSHINE STATE HOME HEALTH, INC.",8401 LAKE WORTH RD  STE 210,LAKE WORTH,33467,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109319,METRO DADE HOME HEALTH INC,8200 NW 27 ST 105,DORAL,33122,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,100,100,100,95.8,,0,100,77.1,38.8,87.2,96.9,89.3,,27.5,9,9.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109324,"COMPASSIONATE CARING HOME CARE, INC",4121 NW 5TH ST STE 218,PLANTATION,33317,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109325,D'VAL HOME HEALTH AGENCY LLC,3408 WEST 84 STREET SUITE 212,HIALEAH,33018,Proprietary,Yes,Yes,Yes,Yes,No,Yes,4.5,98.3,100,99.6,100,60.1,9.4,92.3,78.1,67.2,89.5,94.4,60.4,,23.4,11.9,6.8,Not Available,Not Available,4,4,90,3,86,3,83,4,85,79
FL,109330,HIGH STANDARD HEALTH SERVICES INC,10689 N KENDALL DR STE 310,MIAMI,33176,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,99.9,96.5,99.9,99.8,8.7,11,97.6,54.4,37.5,58.5,62.3,43.7,84.3,37.5,18.2,10.1,Worse Than Expected,Same As Expected,3,4,87,4,84,1,66,3,81,68
FL,109332,MARIA HOME HEALTH SERVICES INC,5575 S SEMORAN BLVD STE 38,ORLANDO,32822,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,2.7,9.4,Not Available,Not Available,Not Available,Not Available,94,Not Available,86,Not Available,90,Not Available,89,92
FL,109333,MOBILE PERSONAL SERVICES INC,5838 DAILEY LN,NEW PORT RICHEY,34652,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2,75,92.2,99,93.9,48.7,49.6,92.6,58.1,61.9,67.4,56.6,65.9,87.5,56.8,,,Not Available,Not Available,1,2,82,1,74,1,72,1,72,67
FL,109335,P & M HOME HEALTH SERVICES LLC,6299 W SUNRISE BLVD STE 201,SUNRISE,33313,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109337,"ACTIVE HOME HEALTH CARE SERVICES, LLC","1495 FOREST HILL BLVD, STE A",WEST PALM BEACH,33406,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,96.7,99.1,94.1,95.6,89.8,95.4,100,73.9,73.9,80,85.7,82.1,,48.5,12.1,10.4,Same As Expected,Same As Expected,3,3,87,3,84,1,72,3,77,68
FL,109338,COMMUNITY THERAPY HOME CARE INC,5223 PARK BLVD SUITE 201,PINELLAS PARK,33781,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,90.2,96.3,94.7,94.4,76.6,77.5,95.4,64.1,72.2,72.4,71.9,80,96.3,69.6,10.5,8.4,Same As Expected,Same As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109341,ML HOME CARE INC,14850 SW 26TH ST STE 205,MIAMI,33125,Proprietary,Yes,Yes,Yes,No,No,Yes,4.5,98.5,96.2,98.5,97.8,13.6,5.2,41.2,85.9,60.1,91.5,100,98.1,,69.9,11.4,5,Not Available,Not Available,Not Available,Not Available,92,Not Available,92,Not Available,97,Not Available,96,97
FL,109342,S E T HOME HEALTH,8016 W GULF TO LAKE HWY,CRYSTAL RIVER,34429,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,98.6,100,100,99.8,74.2,86,100,80.2,72.6,85,81.5,74.8,91.8,70.6,16,9.2,Same As Expected,Same As Expected,5,5,93,5,91,5,91,5,92,86
FL,109343,"TODAY'S HOME HEALTH SERVICES, INC",43 NE 10TH ST,HOMESTEAD,33030,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,91.9,100,100,99.1,34.2,70.9,100,74.8,44.3,56.8,88,56.1,,27.8,8.7,12.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109344,TOTAL HOME HEALTH PALM BEACH,2090 PALM BEACH LAKES BLVD STE 502,WEST PALM BEACH,33409,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,96.6,99.2,99.8,99.8,59.6,62.2,99.4,61.8,53.4,68.2,69.7,53,74.1,48.1,13.7,13.6,Same As Expected,Worse Than Expected,2,2,80,3,79,2,77,2,69,61
FL,109346,ABELLA YOSE CARE SERVICE INC,5901 NW 151 ST STE 102,MIAMI LAKES,33014,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,97.8,9.2,100,99.3,0,4.8,11.8,91.3,89,95.4,100,44.8,,36.4,10.3,5.3,Not Available,Not Available,Not Available,Not Available,100,Not Available,95,Not Available,88,Not Available,95,95
FL,109347,HEALTHPRO HOME HEALTH CORP,13155 SW 134 ST STE 112,MIAMI,33186,Proprietary,Yes,Yes,Yes,No,Yes,Yes,5,100,100,100,100,99.4,87.2,100,76.9,69.4,93.6,100,85.4,,43.6,9.7,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109349,PROFESSIONAL NURSES HOMECARE INC.,8910 MIRAMAR PKWY STE 310,MIRAMAR,33025,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109353,CARE-TECH HOME HEALTH SERVICES LLC,7791 NW 46 ST STE 108,DORAL,33166,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,99.1,99.7,99.5,99.9,66.2,70.7,99.5,74.5,67.3,78.6,74.4,66,91.2,60.4,15,12.4,Worse Than Expected,Same As Expected,4,5,93,5,89,3,84,4,89,82
FL,109355,"PROFESSIONAL NURSES HOMECARE, INC",160 NW 176 ST STE 207-2,MIAMI,33169,Proprietary,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109360,"DEDICATED CAREGIVERS, LLC",1961 NW 150TH AVE STE 103,PEMBROKE PINES,33028,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,99.1,83.8,100,100,27.6,79.3,92.3,69.8,56.8,66.1,75.1,51.1,,34.7,12.3,9.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109361,DIVINE HOME HEALTH CARE INC,6107 MEMORIAL HWY STE B,TAMPA,33615,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,96.9,94.3,100,97.8,57.4,62.6,98.2,58.1,44.5,69.9,70.1,56.5,,48.1,18.2,11.9,Worse Than Expected,Same As Expected,3,3,88,3,79,2,76,3,81,75
FL,109363,"HOME LIFE, LLC",175 FONTAINEBLEAU BLVD STE 1G3,MIAMI,33172,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,5,98.6,35.7,100,100,80.6,38.7,100,86.2,78.6,100,100,100,,93,10.5,6.4,Not Available,Not Available,Not Available,Not Available,99,Not Available,95,Not Available,87,Not Available,87,95
FL,109365,SOMMET HOME CARE INC,7910 NW 25TH ST STE 208,DORAL,33122,Proprietary,Yes,Yes,Yes,Yes,No,Yes,3.5,96.5,99.1,100,100,3.6,0,83.3,50.8,67.7,92.5,99,23,,7,8.4,8.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109366,ALL ABOUT HOME CARE INC,2310 N AIRPORT RD,FORT MYERS,33907,Non - Profit Private,Yes,Yes,Yes,Yes,Yes,Yes,4.5,99.8,99.6,100,100,78.3,82.2,99.1,77.9,79.6,80.5,82.1,79.8,98,63.1,17.6,9.4,Same As Expected,Same As Expected,4,4,92,4,86,2,81,5,90,84
FL,109371,UNITED NURSING SERVICES,5644 TAVILLA CIRCLE STE 204,NAPLES,34110,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,88.2,94.9,100,99.7,66.5,69.7,100,69.1,71.7,72.3,72.4,67.3,95.8,57.2,11.7,5.2,Same As Expected,Same As Expected,3,3,86,4,84,1,74,3,83,70
FL,109373,"ALL PROFESSIONAL HOME CARE, INC.",8411 W OAKLAND PK BLVD   STE 300,SUNRISE,33351,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,95.5,99,100,96.4,57.7,64.5,100,64.1,59.7,58.8,59.3,64.2,55.9,58.1,16.8,11.8,Not Available,Not Available,5,5,95,5,89,4,88,5,92,81
FL,109377,HOME HEALTH SERVICES OF BROWARD,10794 PINES BLVD STE 201,PEMBROKE PINES,33026,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3.5,96.7,97.2,99.6,96.4,36.5,39.9,100,72.3,49.9,77.6,95.1,82.2,71.4,56.1,18.6,10.3,Worse Than Expected,Same As Expected,2,2,82,1,69,1,67,2,81,69
FL,109378,"LIVING CARE HOME HEALTH, INC",1460 NW 107 AVE STE N,MIAMI,33172,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,97.7,100,100,99.4,0,37.9,,50.7,18,100,100,99.4,,73.8,7.8,7.8,Not Available,Not Available,Not Available,Not Available,95,Not Available,98,Not Available,88,Not Available,97,95
FL,109382,LAKEVIEW TERRACE HOME HEALTH SERVICES LLC,110 LODGE TERRACE DR,ALTOONA,32702,Non - Profit Other,Yes,Yes,Yes,Yes,Yes,Yes,4,89.9,100,100,100,94.6,100,,55.8,50.1,81.2,88.4,79,,58.8,11.8,11.1,Not Available,Not Available,Not Available,Not Available,87,Not Available,84,Not Available,84,Not Available,74,62
FL,109383,LIFETIME HOME HEALTH CARE CORP,13335 SW 124TH ST STE 213,MIAMI,33186,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4.5,96.7,99.6,100,100,79.3,84.6,100,82.7,68.9,91.4,93.7,88.4,81.4,78.1,14.8,10.7,Same As Expected,Same As Expected,4,4,90,3,84,2,80,5,94,72
FL,109384,HAVEN HOME HEALTHCARE,2041 WEST STATE ROAD 426,OVIEDO,32765,Non - Profit Religious,Yes,Yes,Yes,Yes,Yes,Yes,4,99.5,100,100,97.5,84.7,92.9,100,80.6,61.9,82.6,65.4,55.1,90.7,52,19.8,12.4,Same As Expected,Same As Expected,4,5,92,5,90,3,83,3,89,91
FL,109385,MEDICAL PERSONNELS SERVICES INC,4507 N HABANA AVE,TAMPA,33614,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109386,ALPHA HOMECARE & THERAPY AGENCY LLC,401 N WICKHAM RD STE O,MELBOURNE,32935,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,93.5,100,100,96.8,,50,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,83,Not Available,83,Not Available,74,Not Available,99,34
FL,109387,AMERIHEALTH HOME CARE AGENCY LLC,7190 SW 87 AVE STE 204,MIAMI,33173,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,91.3,98,100,95.2,51.1,71.8,95.1,67.9,50.8,63.5,79.2,48.3,,38.7,10,14.1,Not Available,Not Available,Not Available,Not Available,92,Not Available,74,Not Available,87,Not Available,77,69
FL,109388,GABLES HOME HEALTH INC,7293 SW 24TH ST,MIAMI,33155,Proprietary,Yes,Yes,Yes,No,Yes,Yes,4.5,97.6,100,97.8,94.6,19.5,13.2,80.5,88,81.2,88.1,92.8,68,,41.9,15.8,9.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109391,J & C SWEET HOME CARE LLC,14125 NW 80TH AVE STE 206,MIAMI LAKES,33016,Proprietary,Yes,Yes,Yes,No,Yes,Yes,4,98.8,99.8,100,99.8,1.9,0.3,78.5,100,78.2,100,95.8,9.1,,41.1,16,5.8,Not Available,Not Available,Not Available,Not Available,95,Not Available,85,Not Available,81,Not Available,83,84
FL,109396,HOME CARE PROFESSIONALS LLC,7401 WILES RD  STE 136,CORAL SPRINGS,33067,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,97.6,98.1,91.3,97,55,28.4,100,56.8,54.6,51.9,52.2,40,,41.9,23.7,5.3,Not Available,Not Available,Not Available,Not Available,93,Not Available,80,Not Available,92,Not Available,88,99
FL,109399,LONGEVITY HOME HEALTH CARE INC,13200 SW 128TH ST STE A-3,MIAMI,33186,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,5,99.6,100,100,100,80.7,94.9,100,81.2,70.1,87.8,97.6,69.5,,55.1,14.6,4.3,Not Available,Not Available,Not Available,Not Available,95,Not Available,85,Not Available,72,Not Available,93,85
FL,109400,CONFIDENT CARE OF FLORIDA CORP,1401 FORUM WAY #740,WEST PALM BEACH,33401,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,100,Not Available,91,Not Available,46,Not Available,100,100
FL,109401,MILLENNIUM HOME CARE LLC,1500 KINGS HIGHWAY,PORT CHARLOTTE,33980,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,95.1,96.1,99.9,99.8,75.3,73.2,99.6,77.6,69.7,81.4,70.5,75.8,95.9,58,16.5,11,Same As Expected,Worse Than Expected,4,4,89,4,84,3,85,3,86,79
FL,109403,"COMMUNITY CARE NURSING, LLC",9380 SW 72ND ST STE B-210,MIAMI,33173,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109404,ASSIS PROFESSIONAL HOME HEALTH INC,175 FONTAINEBLEAU BLVD STE 2A,MIAMI,33172,Proprietary,Yes,Yes,Yes,No,No,Yes,4.5,99.3,100,100,100,88.8,93.1,100,91.8,76.6,69.7,97.9,59.9,,36.5,16,4.8,Not Available,Not Available,Not Available,Not Available,98,Not Available,91,Not Available,85,Not Available,92,90
FL,109405,BREEZE HEALTH CARE INC,318 E DANIA BEACH BLVD,DANIA,33004,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,98.4,98.4,100,100,78.6,22.9,100,29.2,41.8,9.8,82.2,33.5,,11.4,12.4,16.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109406,GRACE FAMILY HOME CARE,13575 58TH ST N STE 256,CLEARWATER,33760,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,2.5,93.2,100,100,100,77,80.7,100,61,52.6,58.7,52.7,45.3,96.1,66.9,20.8,16.1,Not Available,Not Available,Not Available,Not Available,84,Not Available,81,Not Available,81,Not Available,77,70
FL,109407,DIMENSION HOME HEALTH CARE INC,8325 W 24TH AVE BAY 7,HIALEAH,33016,Proprietary,Yes,Yes,Yes,No,Yes,Yes,5,100,100,100,100,0,1,98.7,94.8,93.8,89.7,96,,,33.7,11.5,4.8,Not Available,Not Available,Not Available,Not Available,99,Not Available,98,Not Available,92,Not Available,91,93
FL,109408,EXTENDED HOME HEALTH SERVICES INC,945 SW 87TH AVENUE #A,MIAMI,33174,Government - State/ County,Yes,Yes,Yes,No,No,Yes,4.5,98.5,99.2,100,100,81.4,100,100,91.6,72.8,99.3,100,77.8,,92,15.9,12.5,Not Available,Not Available,Not Available,Not Available,94,Not Available,83,Not Available,95,Not Available,92,88
FL,109411,NEWDAY HOME HEALTH SERVICES LLC,10621 N KENDALL DR STE 204,MIAMI,33176,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,100,93.9,100,100,,54.5,,68.6,53,79.4,88.7,,,63.9,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109412,"NURSING CARE SERVICES, INC",5700 LAKEWORTH RD STE 108,GREENACRES,33463,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,3,99,74.6,100,100,45.9,70.7,100,67,69.6,67,75.7,100,,31.7,29,8.5,Not Available,Not Available,Not Available,Not Available,85,Not Available,73,Not Available,94,Not Available,100,67
FL,109413,CARING PEOPLE CERTIFIED SERVICES,5300 W ATLANTIC AVE STE 201,DELRAY BEACH,33484,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,96.8,91.1,100,99.2,73.8,72.2,97,76.8,69.8,84.4,78,69.1,98.6,72,14.7,12.9,Same As Expected,Same As Expected,3,3,86,3,78,3,83,3,86,70
FL,109414,PRIMARY MEDICAL STAFFING INC,3600 RED RD STE 303,MIRAMAR,33025,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,,92.3,61.5,100,92,,57.7,,,,,,,,,24.1,13.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109415,HAVEN HOME HEALTH CARE,2227 US HWY 27 SOUTH,SEBRING,33870,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,100,99.1,100,100,58.1,62.9,100,76.5,61.8,83.1,72.6,88.6,,50.9,23,17.1,Not Available,Not Available,Not Available,Not Available,80,Not Available,66,Not Available,86,Not Available,66,65
FL,109416,CENTRAL HEALTH CORP,13550 SW 88TH ST STE 290,MIAMI,33186,Proprietary,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FL,109423,PREFERRED CARE HOME HEALTH SERVICES,5292 SUMMERLIN COMMONS WAY STE 1102,FORT MYERS,33907,Proprietary,Yes,Yes,Yes,Yes,Yes,Yes,4,99.5,97.1,99.9,97.8,74.2,72.4,94.7,75.7,72.8,78.2,69.9,77.6,92.5,69.5,15.7,11,Worse Than Expected,Worse Than Expected,3,4,89,3,84,2,80,3,85,79
FL,109424,JIMENEZ HOME HEALTH CARE CORP,275 FONTAINEBLEAU BLVD STE 235,MIAMI,33172,Proprietary,Yes,Yes,No,No,Yes,Yes,4.5,100,100,100,100,100,100,100,100,54.6,100,96.6,11.4,,39.6,17.9,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
